"gene_name","GO_BP_Count","GO_MF_Count"
"ADCY7",9,3
"ADCY8",29,10
"ADCY9",6,4
"ADCYAP1",19,5
"ADCYAP1R1",15,8
"ADD1",7,11
"ADD2",9,9
"ADD3",5,4
"ADGB",2,4
"ADH1A",3,5
"ADH1B",3,4
"ADH1C",2,4
"ADH4",9,11
"ADH5",8,10
"ADH6",2,3
"ADH7",6,8
"ADHFE1",3,3
"ADI1",2,6
"ADIG",4,0
"ADIPOQ",73,8
"ADIPOR1",15,7
"ADIPOR2",6,6
"ADIRF",3,2
"ADK",8,5
"ADM",42,3
"ADM2",9,2
"ADM5",4,1
"ADNP",17,8
"ADNP2",3,5
"ADO",1,3
"ADORA1",49,8
"ADORA2A",48,9
"ADORA2B",15,3
"ADORA3",11,1
"ADPGK",3,2
"ADPRH",2,4
"ADPRHL1",3,2
"ADRA1A",31,3
"ADRA1B",11,3
"ADRA1D",10,3
"ADRA2A",44,12
"ADRA2B",17,3
"ADRA2C",14,7
"ADRB1",14,7
"ADRB2",30,8
"ADRB3",15,7
"ADRM1",3,5
"ADSL",12,3
"ADTRP",12,2
"AEBP1",5,7
"AEBP2",3,4
"AEN",4,4
"AFAP1",1,1
"AFAP1L2",6,3
"AFF1",1,1
"AFF2",8,1
"AFF3",4,2
"AFF4",3,1
"AFG3L2",21,8
"AFM",3,2
"AFMID",2,2
"AFP",5,2
"AFTPH",2,2
"AGA",2,3
"AGAP1",2,6
"AGAP2",6,10
"AGAP3",3,5
"AGBL1",3,3
"AGBL2",2,4
"AGBL3",2,3
"AGBL4",11,3
"AGBL5",6,3
"AGER",47,11
"AGFG1",4,5
"AGFG2",1,3
"AGGF1",5,2
"AGK",4,5
"AGL",4,6
"AGMAT",3,6
"AGMO",3,3
"AGO1",9,7
"AGO2",24,16
"AGO3",10,8
"AGO4",13,5
"AGPAT1",5,2
"AGPAT2",8,1
"AGPAT3",3,2
"AGPAT4",3,2
"AGPAT5",6,3
"AGPS",2,3
"AGR2",11,4
"AGR3",1,2
"AGRN",11,9
"AGRP",11,3
"AGT",50,9
"AGTPBP1",16,3
"AGTR1",28,5
"AGTR2",24,3
"AGTRAP",3,3
"AGXT",8,8
"AGXT2",5,4
"AHCTF1",6,1
"AHCY",2,2
"AHCYL1",12,4
"AHCYL2",2,1
"AHDC1",4,3
"AHI1",20,2
"AHNAK",3,6
"AHNAK2",1,1
"AHR",22,16
"AHRR",3,5
"AHSA1",2,5
"AHSG",9,4
"AHSP",5,3
"AICDA",14,6
"AIDA",5,3
"AIF1",27,4
"AIF1L",2,3
"AIFM1",21,8
"AIFM2",8,5
"AIFM3",1,3
"AIG1",1,2
"AIM2",23,6
"AIMP1",10,5
"AIMP2",7,2
"AIP",5,6
"AIPL1",7,4
"AIRE",13,7
"AJAP1",4,4
"AJUBA",17,7
"AK1",7,4
"AK2",6,3
"AK3",8,5
"AK4",11,10
"AK5",6,3
"AK7",3,4
"AK8",3,6
"AK9",2,8
"AKAP1",2,3
"AKAP10",2,2
"AKAP11",5,4
"AKAP12",18,4
"AKAP13",11,7
"AKAP14",1,2
"AKAP17A",6,3
"AKAP3",7,2
"AKAP4",9,2
"AKAP5",12,12
"AKAP6",14,7
"AKAP7",11,5
"AKAP8",9,7
"AKAP8L",7,8
"AKAP9",15,7
"AKIP1",2,1
"AKIRIN1",7,2
"AKIRIN2",18,5
"AKNA",6,2
"AKR1A1",9,10
"AKR1B1",15,10
"AKR1B10",6,9
"AKR1B15",2,8
"AKR1C1",16,19
"AKR1C2",12,10
"AKR1C3",30,23
"AKR1C4",10,17
"AKR1D1",6,7
"AKR7A2",5,5
"AKR7A3",1,4
"AKT1",131,19
"AKT1S1",7,3
"AKT2",27,7
"AKT3",16,6
"AKTIP",10,2
"ALAD",32,5
"ALAS1",8,4
"ALAS2",8,3
"ALB",4,12
"ALCAM",8,3
"ALDH18A1",7,6
"ALDH1A1",8,9
"ALDH1A2",41,4
"ALDH1A3",18,6
"ALDH1B1",2,2
"ALDH1L1",4,3
"ALDH1L2",6,3
"ALDH2",7,6
"ALDH3A1",3,6
"ALDH3A2",8,7
"ALDH3B1",8,6
"ALDH3B2",5,4
"ALDH4A1",4,5
"ALDH5A1",6,2
"ALDH6A1",6,3
"ALDH7A1",4,5
"ALDH8A1",4,2
"ALDH9A1",3,5
"ALDOA",10,9
"ALDOB",9,8
"ALDOC",5,3
"ALG1",3,2
"ALG10",2,2
"ALG10B",2,2
"ALG11",2,3
"ALG12",3,3
"ALG13",3,3
"ALG14",2,2
"ALG1L2",1,1
"ALG2",3,4
"ALG3",3,3
"ALG5",4,2
"ALG6",2,4
"ALG8",3,3
"ALG9",2,3
"ALK",20,7
"ALKBH1",16,9
"ALKBH2",1,5
"ALKBH3",4,6
"ALKBH4",4,8
"ALKBH5",9,6
"ALKBH7",4,3
"ALKBH8",3,8
