"gene_name","GO_BP_Count","GO_MF_Count"
"FAM86B2",3,2
"FAM86C2P",1,1
"FAM89B",4,1
"FAM8A1",1,1
"FAM91A1",2,1
"FAM98A",6,3
"FAM98B",4,4
"FAM9A",2,1
"FAM9B",2,1
"FAM9C",2,1
"FAN1",4,7
"FANCA",10,1
"FANCB",4,1
"FANCC",10,1
"FANCD2",12,2
"FANCE",1,2
"FANCF",2,2
"FANCG",7,2
"FANCI",2,3
"FANCL",6,5
"FANCM",6,9
"FANK1",4,1
"FAP",14,10
"FAR1",4,4
"FAR2",2,3
"FARP1",8,4
"FARP2",9,2
"FARS2",3,4
"FARSA",2,6
"FARSB",3,5
"FAS",21,6
"FASLG",28,5
"FASN",13,12
"FASTK",5,6
"FASTKD1",3,2
"FASTKD2",7,3
"FASTKD3",4,2
"FASTKD5",3,3
"FAT1",13,2
"FAT2",4,1
"FAT3",7,1
"FAT4",6,2
"FATE1",3,3
"FAU",7,3
"FAXDC2",3,3
"FBF1",3,1
"FBL",7,7
"FBLIM1",3,3
"FBLL1",4,3
"FBLN1",14,9
"FBLN2",1,5
"FBLN5",5,5
"FBLN7",1,3
"FBN1",22,9
"FBN2",12,5
"FBN3",1,2
"FBP1",19,7
"FBP2",4,4
"FBXL12",2,1
"FBXL13",1,0
"FBXL14",2,2
"FBXL15",6,1
"FBXL16",1,1
"FBXL17",9,1
"FBXL18",1,0
"FBXL19",3,6
"FBXL2",10,5
"FBXL20",4,1
"FBXL22",2,2
"FBXL3",6,2
"FBXL4",3,1
"FBXL5",5,4
"FBXL6",2,2
"FBXL7",7,1
"FBXL8",1,1
"FBXO10",4,2
"FBXO11",7,5
"FBXO17",3,2
"FBXO2",9,6
"FBXO21",1,3
"FBXO22",8,2
"FBXO24",1,2
"FBXO25",1,3
"FBXO27",3,2
"FBXO28",1,2
"FBXO3",4,3
"FBXO30",1,3
"FBXO31",5,2
"FBXO32",3,1
"FBXO33",2,1
"FBXO38",6,2
"FBXO39",1,1
"FBXO4",18,5
"FBXO40",1,2
"FBXO43",5,2
"FBXO44",4,2
"FBXO45",12,2
"FBXO48",1,1
"FBXO5",21,6
"FBXO6",8,3
"FBXO7",15,7
"FBXO8",2,2
"FBXO9",7,3
"FBXW11",20,5
"FBXW12",1,0
"FBXW2",2,2
"FBXW4",4,1
"FBXW5",5,2
"FBXW7",36,9
"FBXW8",7,2
"FCAMR",2,1
"FCAR",12,2
"FCER1A",7,3
"FCER1G",17,6
"FCER2",9,8
"FCF1",2,2
"FCGR1A",14,4
"FCGR2A",5,3
"FCGR2B",48,6
"FCGR2C",6,4
"FCGR3A",12,5
"FCGR3B",4,3
"FCGRT",2,3
"FCHO1",4,2
"FCHO2",5,5
"FCHSD1",4,1
"FCHSD2",7,3
"FCN1",9,9
"FCN2",8,9
"FCN3",9,7
"FCRL1",1,1
"FCRL2",3,4
"FCRL3",11,4
"FCRL4",3,2
"FCRL5",4,3
"FCRL6",2,5
"FCRLA",3,1
"FCRLB",3,1
"FDFT1",3,3
"FDPS",3,5
"FDX1",7,3
"FDXACB1",1,2
"FDXR",4,2
"FECH",21,8
"FEM1A",6,4
"FEM1B",9,4
"FEM1C",3,2
"FEN1",11,13
"FER",38,7
"FER1L5",1,1
"FER1L6",2,1
"FERD3L",8,6
"FERMT1",18,2
"FERMT2",30,8
"FERMT3",8,3
"FES",20,7
"FETUB",4,4
"FEV",7,4
"FEZ1",11,3
"FEZ2",4,1
"FEZF1",11,5
"FEZF2",17,5
"FFAR1",11,3
"FFAR2",18,3
"FFAR3",13,3
"FFAR4",22,5
"FGA",22,7
"FGB",22,6
"FGD1",8,3
"FGD2",6,5
"FGD3",6,3
"FGD4",6,4
"FGD5",6,4
"FGD6",5,4
"FGF1",29,7
"FGF10",104,6
"FGF11",5,3
"FGF12",15,5
"FGF13",21,6
"FGF14",6,4
"FGF16",9,3
"FGF17",8,4
"FGF18",23,3
"FGF19",12,3
"FGF2",86,12
"FGF20",13,5
"FGF21",24,3
"FGF22",6,2
"FGF23",24,3
"FGF3",10,3
"FGF4",24,3
"FGF5",10,2
"FGF6",9,3
"FGF7",28,5
"FGF8",70,4
"FGF9",43,3
"FGFBP1",9,4
"FGFBP2",1,2
"FGFBP3",3,3
"FGFR1",69,10
"FGFR1OP2",2,2
"FGFR2",98,8
"FGFR3",23,6
"FGFR4",18,5
"FGFRL1",7,4
"FGG",21,7
"FGGY",3,1
"FGL1",6,2
"FGL2",5,2
"FGR",24,9
"FH",10,3
"FHDC1",4,2
"FHIT",4,8
"FHL1",9,4
"FHL2",8,6
"FHL3",2,4
"FHL5",1,3
"FHOD1",6,3
"FHOD3",3,2
"FIBIN",1,2
"FIBP",2,1
"FICD",6,8
"FIG4",9,5
"FIGLA",4,8
"FIGN",2,4
"FIGNL1",10,6
"FILIP1",2,0
"FILIP1L",2,2
"FIP1L1",1,2
"FIS1",7,4
"FITM1",5,4
"FITM2",12,4
"FIZ1",1,4
"FJX1",2,0
"FKBP10",6,4
"FKBP11",2,1
"FKBP15",1,3
"FKBP1A",21,11
"FKBP1B",22,9
"FKBP1C",2,1
"FKBP2",2,3
"FKBP4",12,12
"FKBP5",5,5
"FKBP6",8,4
"FKBP8",15,7
"FKBP9",1,2
"FKBPL",2,1
"FKRP",37,6
"FKTN",8,2
"FLAD1",2,4
"FLCN",36,5
"FLG",3,4
"FLG2",3,3
"FLI1",8,9
"FLII",5,4
"FLNA",48,15
"FLNB",6,6
"FLNC",1,5
"FLOT1",27,3
"FLOT2",12,2
"FLRT1",4,1
"FLRT2",10,3
"FLRT3",14,5
"FLT1",23,6
"FLT3",23,10
"FLT3LG",3,4
"FLT4",25,7
"FLVCR1",19,5
"FLVCR2",5,4
"FLYWCH1",2,5
"FLYWCH2",1,1
"FMN1",10,3
"FMN2",16,2
"FMNL1",4,5
"FMNL2",5,3
"FMNL3",7,4
"FMO1",9,7
"FMO2",8,4
"FMO3",1,7
"FMO4",3,5
"FMO5",4,7
"FMOD",2,1
"FMR1",35,28
"FMR1-AS1",1,0
"FN1",29,11
"FN3K",6,4
"FN3KRP",2,3
"FNBP1",2,3
"FNBP1L",10,4
"FNDC3A",4,1
"FNDC4",2,0
"FNDC5",4,2
"FNIP1",18,6
"FNIP2",7,3
"FNTA",9,9
"FNTB",2,3
"FOCAD",1,1
"FOLH1",3,8
"FOLH1B",2,3
"FOLR1",15,4
"FOLR2",7,3
"FOLR3",4,3
"FOS",43,14
"FOSB",16,6
"FOSL1",29,7
"FOSL2",46,7
"FOXA1",33,10
"FOXA2",20,10
"FOXA3",10,7
"FOXB1",21,5
"FOXB2",3,2
"FOXC1",56,13
"FOXC2",40,12
"FOXD1",16,7
"FOXD2",4,7
"FOXD3",6,7
"FOXD4",3,6
"FOXD4L1",3,3
"FOXD4L3",3,3
"FOXD4L4",3,3
"FOXD4L5",3,2
"FOXD4L6",3,3
"FOXE1",15,6
"FOXE3",17,5
"FOXF1",47,6
"FOXF2",14,9
"FOXG1",15,4
"FOXH1",19,15
"FOXI1",6,9
"FOXI2",3,2
"FOXI3",10,2
"FOXJ1",33,7
"FOXJ2",9,7
"FOXJ3",5,6
"FOXK1",11,8
"FOXK2",11,9
"FOXL1",8,6
"FOXL2",20,10
"FOXM1",16,6
"FOXN1",16,4
"FOXN2",3,5
"FOXN3",5,4
"FOXN4",9,5
"FOXO1",39,14
"FOXO3",42,15
"FOXO3B",1,2
"FOXO4",15,14
"FOXO6",3,3
"FOXP1",33,9
"FOXP2",6,10
"FOXP3",58,16
"FOXP4",2,5
"FOXQ1",5,4
"FOXR1",4,5
"FOXR2",1,3
"FOXRED1",1,1
"FOXRED2",1,3
"FOXS1",9,5
"FPGS",9,3
"FPGT",2,3
"FPR1",9,7
"FPR2",20,7
"FPR3",6,3
"FRA10AC1",1,2
"FRAS1",8,1
"FRAT1",3,2
"FRAT2",2,1
"FREM1",4,3
"FREM2",9,2
"FREM3",3,1
"FRG1",3,3
"FRK",5,5
"FRMD1",1,1
"FRMD3",1,2
"FRMD4A",3,1
"FRMD4B",1,0
"FRMD5",4,4
"FRMD6",4,1
"FRMD7",5,3
"FRMD8",3,1
"FRMD8P1",1,0
"FRMPD1",2,1
"FRMPD2",1,2
"FRMPD4",1,2
"FRRS1",1,2
"FRRS1L",4,3
"FRS2",18,5
"FRS3",2,4
"FRY",3,1
"FRYL",2,1
"FRZB",18,2
"FSCB",1,1
"FSCN1",15,6
"FSCN2",7,4
"FSCN3",3,2
"FSD1",5,2
"FSD1L",1,1
"FSHB",16,2
"FSHR",13,3
"FSIP2",3,1
"FST",17,4
"FSTL1",6,3
"FSTL3",11,3
"FSTL4",5,2
"FSTL5",2,2
"FTCD",4,5
"FTH1",6,7
"FTH1P19",1,2
"FTHL17",1,3
"FTL",2,5
"FTMT",6,4
"FTO",11,7
"FTSJ1",6,6
"FTSJ3",4,5
"FTX",1,0
"FUBP1",2,4
"FUBP3",6,4
"FUCA1",4,2
"FUCA2",4,2
"FUNDC1",4,1
"FUNDC2",3,2
"FUOM",2,3
"FURIN",30,12
"FUS",10,10
"FUT1",13,3
"FUT10",15,2
"FUT11",3,3
"FUT2",9,4
"FUT3",11,5
"FUT4",15,3
"FUT5",9,4
"FUT6",9,3
"FUT7",24,4
"FUT8",16,4
"FUT9",16,5
"FUZ",19,2
"FXN",28,6
"FXR1",24,10
"FXR2",8,7
"FXYD1",10,3
"FXYD2",9,4
"FXYD3",6,4
"FXYD4",4,2
"FXYD5",6,4
"FXYD6",5,3
"FXYD6P3",3,1
"FXYD7",4,2
"FYCO1",2,2
"FYN",58,20
"FYTTD1",1,3
"FZD1",25,7
"FZD10",7,4
"FZD2",17,5
"FZD3",22,5
"FZD4",31,13
"FZD5",31,9
"FZD6",14,5
"FZD7",22,7
"FZD8",6,7
"FZD9",24,5
"FZR1",13,4
"G0S2",3,2
"G2E3",2,3
"G3BP1",8,12
"G3BP2",7,5
"G6PC2",4,1
"G6PC3",3,1
"G6PD",23,6
"GAA",17,3
"GAB1",9,2
"GAB2",6,4
"GAB3",2,1
"GAB4",2,1
"GABARAP",13,6
"GABARAPL1",5,7
"GABARAPL2",10,8
"GABARAPL3",4,3
"GABBR1",16,6
"GABBR2",7,4
"GABPA",6,8
"GABPB1",2,2
"GABPB2",1,3
"GABRA1",5,6
"GABRA2",6,7
"GABRA3",5,5
"GABRA4",5,5
"GABRA5",12,8
"GABRA6",6,5
"GABRB1",13,9
"GABRB2",11,6
"GABRB3",9,5
"GABRD",7,5
"GABRE",6,4
"GABRG1",5,6
"GABRG2",8,6
"GABRG3",6,5
"GABRP",3,4
"GABRQ",5,7
"GABRR1",6,8
"GABRR2",7,6
"GABRR3",4,5
"GAD1",6,4
"GAD2",10,5
"GADD45A",17,5
"GADD45B",6,1
"GADD45G",7,1
"GADD45GIP1",1,1
"GADL1",1,4
"GAGE1",1,1
"GAGE2A",1,2
"GAGE2B",1,2
"GAGE2C",1,2
"GAK",16,8
"GAL",16,7
"GAL3ST1",8,2
"GAL3ST2",3,4
"GAL3ST3",6,6
"GAL3ST4",7,4
"GALC",3,1
"GALE",2,4
"GALK1",5,4
"GALK2",3,3
"GALM",4,2
"GALNT1",5,3
"GALNT10",2,3
"GALNT11",8,5
"GALNT12",2,4
"GALNT13",4,3
"GALNT14",2,3
"GALNT15",2,4
"GALNT16",3,3
"GALNT18",1,3
"GALNT2",5,4
"GALNT3",7,5
"GALNT4",4,4
"GALNT5",3,3
"GALNT6",3,4
"GALNT7",3,3
"GALNT8",2,3
"GALNT9",2,3
"GALNTL5",1,1
"GALNTL6",2,3
"GALP",8,2
"GALR1",6,5
"GALR2",16,4
"GALR3",9,2
"GALT",3,3
"GAMT",7,3
"GAN",3,3
"GANAB",2,6
"GANC",2,2
"GAP43",12,5
"GAPDH",17,9
"GAPDHS",4,4
"GAPT",2,0
"GAPVD1",2,6
"GAR1",2,4
"GARNL3",1,1
"GART",10,5
"GAS1",8,2
"GAS2",9,3
"GAS2L1",6,4
"GAS2L2",7,5
"GAS2L3",3,4
"GAS6",57,8
"GAS7",2,3
"GAS8",12,4
"GAST",3,2
"GATA1",41,17
"GATA2",54,12
"GATA3",99,17
"GATA4",39,16
"GATA5",14,7
"GATA6",55,12
"GATAD1",3,2
"GATAD2A",6,4
"GATAD2B",6,4
"GATC",3,3
"GATM",5,3
"GBA2",12,5
"GBA3",9,6
"GBE1",4,5
"GBF1",22,4
"GBGT1",4,2
"GBP1",18,14
"GBP2",14,7
"GBP3",8,5
"GBP4",3,5
"GBP5",17,7
"GBP6",5,3
"GBP7",12,3
"GBX1",7,2
"GBX2",15,7
"GC",3,4
"GCA",1,4
"GCAT",3,2
"GCC2",9,3
"GCDH",3,3
"GCFC2",2,2
"GCG",19,7
"GCGR",14,3
"GCH1",23,11
"GCHFR",2,2
"GCK",18,7
"GCKR",9,4
"GCLC",33,7
"GCLM",21,5
"GCM1",13,9
"GCM2",7,8
"GCNT1",9,2
"GCNT2",13,3
"GCNT3",6,4
"GCNT4",8,3
"GCNT7",1,1
"GCSAM",2,4
"GCSAML",2,1
"GCSH",3,2
"GDA",9,2
"GDAP1",5,1
"GDAP2",1,1
"GDE1",5,5
"GDF1",1,2
"GDF10",9,2
"GDF11",15,3
"GDF15",17,5
"GDF2",30,4
"GDF3",16,3
"GDF5",20,5
"GDF6",13,4
"GDF7",18,4
"GDF9",6,2
"GDI1",9,5
"GDI2",6,5
"GDNF",38,7
"GDPD1",2,3
"GDPD2",3,3
"GDPD3",3,3
"GDPD4",1,2
"GDPD5",3,4
"GDPGP1",1,4
"GEM",7,7
"GEMIN2",6,1
"GEMIN4",2,2
"GEMIN5",5,9
"GEMIN6",3,2
"GEMIN7",2,2
"GEMIN8",1,1
"GEN1",6,5
"GET4",8,2
"GFAP",15,5
"GFER",10,5
"GFI1",11,8
"GFI1B",6,7
"GFM1",1,5
"GFM2",3,3
"GFOD2",1,2
"GFPT1",7,3
"GFPT2",7,3
"GFRA1",9,6
"GFRA2",3,2
"GFRA3",7,5
"GFRA4",4,1
"GFRAL",10,5
"GGA1",9,5
"GGA2",4,4
"GGA3",10,6
"GGACT",1,2
"GGCT",1,2
"GGCX",4,2
"GGH",1,4
"GGN",4,2
"GGNBP1",2,0
"GGNBP2",5,0
"GGPS1",5,6
"GGT1",14,5
"GGT3P",8,3
"GGT5",7,4
"GGT6",3,4
"GGT7",4,3
"GGTLC1",3,3
"GGTLC2",3,3
"GGTLC3",3,2
"GH1",15,8
"GH2",4,3
"GHDC",1,2
"GHITM",9,4
"GHR",26,12
"GHRH",12,4
"GHRHR",20,6
"GHRL",54,5
"GHSR",47,6
"GID4",1,1
"GID8",4,2
"GIGYF1",2,1
"GIGYF2",16,5
"GIMAP7",1,5
"GIMAP8",1,1
"GIN1",1,1
"GINS1",3,1
"GINS2",2,1
"GINS3",2,1
"GINS4",3,1
"GIP",27,4
"GIPC1",13,6
"GIPC2",1,3
"GIPR",17,6
"GIT1",18,6
"GIT2",4,4
"GJA1",56,15
"GJA10",5,1
"GJA3",4,2
"GJA4",7,2
"GJA5",36,10
"GJA8",5,3
"GJA9",2,1
"GJB1",6,3
"GJB2",18,5
"GJB3",7,2
"GJB4",5,2
"GJB5",6,2
"GJB6",14,6
"GJB7",2,1
"GJC1",13,5
"GJC2",8,2
"GJC3",4,3
"GJD2",5,1
"GJD3",7,3
"GJD4",3,1
"GJE1",5,1
"GK",6,4
"GK2",8,3
"GK5",5,2
"GKAP1",2,2
"GKN1",5,3
"GKN2",2,1
"GLA",11,7
"GLB1",7,4
"GLB1L",2,1
"GLB1L2",2,2
"GLB1L3",2,1
"GLCE",5,4
"GLDC",5,7
"GLDN",4,1
"GLE1",4,5
"GLG1",6,2
"GLI1",29,11
"GLI2",37,8
"GLI3",71,12
"GLI4",3,5
"GLIPR1L1",1,0
"GLIPR2",3,1
"GLIS1",4,6
"GLIS2",10,7
"GLIS3",4,6
"GLMN",11,5
"GLO1",6,3
"GLP1R",13,5
"GLP2R",4,3
"GLRA1",25,12
"GLRA2",10,9
"GLRA3",5,9
"GLRB",14,10
"GLRX",2,3
"GLRX2",10,8
"GLRX3",7,6
"GLRX5",7,3
"GLS",7,2
"GLS2",5,2
"GLT6D1",2,2
"GLTP",5,8
"GLTPD2",3,2
"GLUD1",6,10
"GLUD2",3,7
"GLUL",11,6
"GLYAT",6,4
"GLYATL1",1,2
"GLYATL2",3,1
"GLYATL3",1,1
"GLYCTK",2,3
"GLYR1",2,9
"GM2A",8,5
"GMCL1",2,2
"GMDS",4,4
"GMEB1",2,8
"GMEB2",2,6
"GMFB",5,5
"GMFG",4,5
"GMIP",4,3
"GML",3,0
"GMNC",4,2
"GMNN",10,5
"GMPPA",14,3
"GMPPB",5,4
"GMPR",3,3
"GMPR2",2,3
"GMPS",4,3
"GNA11",19,8
"GNA12",15,9
"GNA13",17,8
"GNA14",4,6
"GNA15",5,5
"GNAI1",13,11
"GNAI2",24,6
"GNAI3",7,7
"GNAL",2,6
"GNAO1",9,10
"GNAQ",17,9
"GNAS",26,14
"GNAT1",21,8
"GNAT2",23,6
"GNAT3",5,5
"GNAZ",5,8
"GNB1",11,5
"GNB1L",2,1
"GNB2",2,5
"GNB3",10,5
"GNB4",2,3
"GNB5",6,6
"GNE",6,6
"GNG10",2,3
"GNG11",2,3
"GNG12",2,3
"GNG13",3,2
"GNG2",5,2
"GNG3",2,3
"GNG4",3,2
"GNG5",4,4
"GNG7",6,2
"GNG8",4,3
"GNGT1",7,3
"GNGT2",2,2
"GNL1",3,3
"GNL2",2,3
"GNL3",7,4
"GNL3L",8,3
"GNLY",5,1
"GNMT",10,6
"GNPAT",10,1
"GNPDA1",7,4
"GNPDA2",5,4
"GNPNAT1",1,3
"GNPTAB",4,3
"GNPTG",2,3
"GNRH1",8,3
"GNRH2",2,3
"GNRHR",4,1
"GNRHR2",3,1
"GNS",2,6
"GOLGA2",16,7
"GOLGA4",4,3
"GOLGA5",3,2
"GOLGA6A",1,1
"GOLGA6B",1,0
"GOLGA6C",1,0
"GOLGA6D",1,0
"GOLGA7",5,1
"GOLGA7B",1,2
"GOLGA8A",1,0
"GOLGA8B",1,0
"GOLGA8CP",1,0
"GOLGA8DP",1,1
"GOLGA8H",1,0
"GOLGA8J",1,0
"GOLGA8K",1,0
"GOLGA8M",1,0
"GOLGA8N",1,0
"GOLGA8O",1,1
"GOLGA8Q",1,0
"GOLGA8R",1,0
"GOLGA8S",1,0
"GOLGA8T",1,0
"GOLGB1",3,3
"GOLM1",2,1
"GOLPH3",20,4
"GOLPH3L",6,3
"GOLT1A",4,2
"GOLT1B",4,1
"GON4L",1,1
"GOPC",6,4
"GORAB",3,1
"GORASP1",6,2
"GORASP2",7,1
"GOSR1",6,1
"GOSR2",3,3
"GOT1",13,4
"GOT1L1",1,2
"GOT2",10,4
"GP1BA",13,2
"GP1BB",7,3
"GP2",3,2
"GP5",6,1
"GP6",7,6
"GP9",6,1
"GPAA1",3,4
"GPAM",17,2
"GPAT2",6,2
"GPATCH1",1,1
"GPATCH3",3,2
"GPATCH8",1,3
"GPBAR1",6,2
"GPBP1",3,4
"GPBP1L1",3,3
"GPC1",7,4
"GPC2",6,1
"GPC3",35,2
"GPC4",6,2
"GPC5",3,1
"GPC6",3,2
"GPCPD1",2,3
"GPD1",9,5
"GPD1L",8,6
"GPD2",3,2
"GPER1",53,7
"GPHA2",2,4
"GPHB5",3,4
"GPHN",7,9
"GPI",23,7
"GPIHBP1",11,7
"GPKOW",1,2
"GPLD1",29,3
"GPM6A",10,2
"GPM6B",11,3
"GPN2",1,4
"GPNMB",16,6
"GPR101",2,2
"GPR107",1,1
"GPR108",2,1
"GPR119",3,3
"GPR12",4,2
"GPR132",3,1
"GPR135",1,3
"GPR137",5,0
"GPR137B",8,1
"GPR137C",1,0
"GPR139",3,2
"GPR141",1,3
"GPR142",1,1
"GPR143",11,6
"GPR146",2,1
"GPR148",2,4
"GPR149",4,2
"GPR15",4,4
"GPR150",2,1
"GPR151",6,4
"GPR152",1,3
"GPR153",1,1
"GPR155",7,2
"GPR156",3,1
"GPR157",5,1
"GPR158",7,3
"GPR160",1,2
"GPR161",3,2
"GPR162",1,2
"GPR17",4,4
"GPR171",7,5
"GPR173",4,3
"GPR174",3,2
"GPR176",4,1
"GPR179",2,2
"GPR18",5,1
"GPR180",2,0
"GPR182",2,2
"GPR183",15,2
"GPR19",1,1
"GPR20",1,1
"GPR21",5,2
"GPR22",3,1
"GPR25",1,2
"GPR26",1,1
"GPR27",4,1
"GPR3",6,2
"GPR31",7,4
"GPR32",5,3
"GPR32P1",4,2
"GPR33",4,2
"GPR34",2,2
"GPR35",6,2
"GPR37",9,11
"GPR37L1",10,5
"GPR39",1,3
"GPR4",11,1
"GPR42",1,2
"GPR45",1,2
"GPR50",2,3
"GPR52",6,3
"GPR55",7,2
"GPR6",5,2
"GPR61",2,3
"GPR62",3,4
"GPR63",2,2
"GPR65",7,1
"GPR68",9,1
"GPR75",2,2
"GPR78",1,2
"GPR82",1,1
"GPR83",5,3
"GPR84",2,2
"GPR85",2,2
"GPR87",4,1
"GPR88",10,3
"GPR89A",5,1
"GPR89B",4,2
"GPRASP1",2,1
"GPRASP2",1,3
"GPRC5A",3,4
"GPRC5B",8,5
"GPRC5C",1,2
"GPRC5D",1,3
"GPRC6A",4,1
"GPRIN1",1,2
"GPRIN2",1,1
"GPRIN3",1,0
"GPS1",4,2
"GPS2",17,6
"GPSM1",6,3
"GPSM2",9,7
"GPSM3",4,3
"GPT",5,2
"GPT2",4,2
"GPX1",48,4
"GPX2",2,3
"GPX3",3,4
"GPX4",16,5
"GPX5",3,1
"GPX6",2,1
"GPX7",2,4
"GPX8",2,3
"GRAMD1A",3,3
"GRAMD1B",3,4
"GRAMD1C",2,3
"GRAMD4",3,2
"GRAP",5,3
"GRAP2",4,2
"GRAPL",2,3
"GRB10",14,4
"GRB14",3,4
"GRB2",20,14
"GRB7",4,5
"GREB1",1,0
"GREB1L",9,0
"GREM1",40,8
"GREM2",5,5
"GRHL1",7,13
"GRHL2",21,11
"GRHL3",15,6
"GRHPR",3,9
"GRIA1",44,22
"GRIA2",7,6
"GRIA3",11,6
"GRIA4",8,6
"GRID1",8,4
"GRID2",17,6
"GRID2IP",3,0
"GRIK1",11,4
"GRIK2",25,12
"GRIK3",12,7
"GRIK4",8,3
"GRIK5",7,4
"GRIN1",26,13
"GRIN2A",36,6
"GRIN2B",21,9
"GRIN2C",20,4
"GRIN2D",19,8
"GRIN3A",12,8
"GRIN3B",8,8
"GRINA",5,3
"GRIP1",3,3
"GRIP2",5,1
"GRIPAP1",6,5
"GRK1",6,3
"GRK4",6,4
"GRK5",12,8
"GRK6",5,4
"GRK7",5,3
"GRM1",14,7
"GRM2",17,6
"GRM3",8,5
"GRM4",7,3
"GRM5",20,10
"GRM6",11,5
"GRM7",9,8
"GRM8",5,3
"GRN",23,5
"GRP",16,3
"GRPEL1",3,6
"GRPEL2",3,5
"GRPR",11,3
"GRSF1",7,4
"GRWD1",4,5
"GRXCR1",6,2
"GRXCR2",3,0
"GSAP",2,2
"GSC",12,5
"GSC2",2,7
"GSDMA",4,5
"GSDMB",9,6
"GSDMC",4,4
"GSDMD",14,7
"GSG1L",2,1
"GSK3A",49,9
"GSK3B",75,18
"GSKIP",4,6
"GSN",31,7
"GSPT1",6,5
"GSPT2",3,5
"GSR",4,4
"GSS",5,7
"GSTA1",7,5
"GSTA2",3,2
"GSTA3",3,1
"GSTA4",2,4
"GSTA5",2,2
"GSTCD",1,2
"GSTK1",3,3
"GSTM1",7,4
"GSTM2",14,8
"GSTM3",6,6
"GSTM4",4,6
"GSTM5",1,3
"GSTO1",10,5
"GSTO2",5,6
"GSTP1",33,9
"GSTT1",2,3
"GSTT2",1,1
"GSTT2B",1,2
"GSTZ1",5,6
"GSX1",8,6
"GSX2",15,2
"GTDC1",2,1
"GTF2A1",4,8
"GTF2A1L",4,3
"GTF2A2",5,7
"GTF2B",12,11
"GTF2E1",2,3
"GTF2E2",2,5
"GTF2F1",7,10
"GTF2F2",4,3
"GTF2H1",8,3
"GTF2H2",6,3
"GTF2H2C",3,2
"GTF2H3",4,3
"GTF2H4",3,4
"GTF2H5",7,1
"GTF2I",3,6
"GTF2IRD1",4,5
"GTF2IRD2",1,3
"GTF2IRD2B",1,3
"GTF3A",3,3
"GTF3C1",6,3
"GTF3C2",3,3
"GTF3C3",3,3
"GTF3C4",5,5
"GTF3C5",5,5
"GTF3C6",3,3
"GTPBP1",6,7
"GTPBP10",1,5
"GTPBP2",2,5
"GTPBP3",2,3
"GTPBP4",11,5
"GTSE1",2,3
"GTSF1",2,2
"GUCA1A",7,4
"GUCA1B",5,3
"GUCA1C",3,3
"GUCA2A",1,3
"GUCA2B",1,2
"GUCD1",2,1
"GUCY1A2",6,4
"GUCY2C",6,7
"GUCY2D",6,9
"GUCY2F",7,8
"GUF1",2,3
"GUK1",11,3
"GULP1",3,0
"GUSB",5,4
"GXYLT1",1,2
"GXYLT2",1,2
"GYG1",1,5
"GYG2",1,4
"GYPA",1,3
"GYS1",2,4
"GYS2",2,2
"GZF1",4,5
"GZMA",13,3
"GZMB",9,3
"GZMH",4,1
"GZMK",2,3
"GZMM",6,3
"H6PD",5,6
"HAAO",9,4
"HABP2",2,4
"HABP4",8,5
"HACE1",7,4
"HACL1",5,8
"HADH",9,4
"HADHA",4,9
"HADHB",3,8
"HAGH",3,3
"HAL",3,1
"HAMP",33,5
"HAND1",22,13
"HAND2",44,11
"HAO1",4,3
"HAO2",2,3
"HAP1",26,5
"HAPLN1",5,2
"HAPLN2",7,2
"HAPLN3",5,1
"HAPLN4",7,2
"HARS2",3,5
"HAS1",7,3
"HAS2",24,3
"HAS3",6,3
"HAT1",4,5
"HAUS1",4,2
"HAUS2",5,2
"HAUS3",5,2
"HAUS4",4,3
"HAUS5",4,2
"HAUS6",5,3
"HAUS7",5,3
"HAUS8",4,3
"HAVCR1",3,3
"HAVCR2",40,2
"HAX1",12,3
"HBA1",6,9
"HBA2",6,9
"HBB",11,10
"HBD",4,9
"HBE1",5,10
"HBEGF",17,6
"HBG1",4,8
"HBG2",4,9
"HBM",3,8
"HBP1",3,4
"HBQ1",3,8
"HBS1L",6,4
"HBZ",4,8
"HCAR1",2,1
"HCAR2",5,1
"HCAR3",1,2
"HCCS",3,4
"HCFC1",10,7
"HCFC2",9,2
"HCK",29,7
"HCLS1",19,6
"HCN1",11,9
"HCN2",11,6
"HCN3",5,4
"HCN4",19,7
"HCRT",17,3
"HCRTR1",6,4
"HCRTR2",9,4
"HCST",4,4
"HDAC1",41,19
"HDAC10",12,9
"HDAC11",3,3
"HDAC2",52,15
"HDAC3",29,15
"HDAC4",24,14
"HDAC5",18,13
"HDAC6",60,21
"HDAC7",11,11
"HDAC8",7,8
"HDAC9",16,12
"HDC",4,3
"HDGF",6,11
"HDGFL1",1,0
"HDHD2",2,4
"HDLBP",2,5
"HDX",1,3
"HEATR1",7,3
"HEATR3",3,1
"HEATR5A",3,1
"HEATR5B",4,1
"HEBP1",1,1
"HECA",2,1
"HECTD1",6,3
"HECTD2",1,1
"HECTD3",2,3
"HECTD4",3,2
"HECW1",4,2
"HECW2",4,2
"HEG1",22,2
"HELB",7,5
"HELLS",11,6
"HELQ",6,5
"HELT",11,5
"HELZ",1,6
"HELZ2",2,9
"HEMGN",2,1
"HEMK1",2,6
"HENMT1",3,6
"HEPACAM",4,0
"HEPACAM2",2,1
"HEPH",4,4
"HEPHL1",3,2
"HERC1",7,2
"HERC2",8,6
"HERC2P3",1,2
"HERC3",2,2
"HERC4",5,1
"HERC5",9,5
"HERC6",4,1
"HERPUD1",14,4
"HERPUD2",2,1
"HES1",94,17
